# M(MSol)        R(km)       nb_c(fm^-3)     cs2_c       mub_c(fm^-3) cs2_mub_Vavg  mub_cs2p_Vavg
1.935286742610251576e+00 1.403173481922591925e+01 3.258363401500644629e-01 9.480510962330244151e-01 1.201715221149459467e+03 7.886146658841817602e-04 2.486527983789179608e+00
1.996628763174721932e+00 1.407145419303655842e+01 3.295035098438788279e-01 9.499984444973187392e-01 1.214562115022612716e+03 7.822492203859319950e-04 1.304135351239487928e-01
2.057944969711628769e+00 1.411050017081556263e+01 3.333671489641278352e-01 9.500007787696574946e-01 1.228086084205955558e+03 7.736414682799062133e-04 2.136218315656335655e-04
2.118990658181186593e+00 1.414955081701735118e+01 3.374346424996425009e-01 9.500029632524329415e-01 1.242316744923607757e+03 7.647859733716140269e-04 8.645365948807259826e-05
2.179524956602144847e+00 1.418043681303802117e+01 3.417150674606483918e-01 9.500027020644346010e-01 1.257283099707366318e+03 7.556870760482842101e-04 -8.666973212454570066e-05
2.239313256019319631e+00 1.421058103336491207e+01 3.462175088332773432e-01 9.500008885381824308e-01 1.273015603288038164e+03 7.463521043341153887e-04 -3.691129937489290378e-05
2.298129537831529845e+00 1.424081795306347331e+01 3.509512959284995515e-01 9.500019486968460658e-01 1.289545451359034814e+03 7.367920351015759452e-04 1.472065331569666954e-04
2.355758435079560620e+00 1.426717176665325759e+01 3.559259592134615957e-01 9.500041162119607918e-01 1.306904422947085095e+03 7.270131930783720704e-04 -1.667862807031495929e-04
2.411996992169667120e+00 1.428838139086029813e+01 3.611513170120687621e-01 9.499980050535551390e-01 1.325125158844574571e+03 7.170198463483582049e-04 -1.025761769383957674e-04
2.466656105428878920e+00 1.430742568992039843e+01 3.666373877994371089e-01 9.500018706418760228e-01 1.344240819699049325e+03 7.068333713724499635e-04 1.594784774868869234e-04
2.519561759992765104e+00 1.432022917814062168e+01 3.723944222332088994e-01 9.500008176022965989e-01 1.364285168023374581e+03 6.964563882800295759e-04 -1.909476755654070958e-04
2.570556046284198093e+00 1.433078514904067902e+01 3.784329113799273503e-01 9.499990408441055800e-01 1.385292909952174568e+03 6.859028686987506899e-04 1.845524000593970590e-04
2.619497680399439421e+00 1.433755014943600692e+01 3.847635577754018321e-01 9.500054886599171855e-01 1.407299044890547066e+03 6.751914220622709907e-04 -4.053014253649134458e-05
2.666262635768161360e+00 1.433908738150889661e+01 3.913973421905403427e-01 9.499992742932633627e-01 1.430339506969908143e+03 6.643218331981623178e-04 -8.929968319394785293e-05
2.710744116863047726e+00 1.433801471108194470e+01 3.983454544718531554e-01 9.500025764273996032e-01 1.454450759941166098e+03 6.533226603795251695e-04 -6.669012636918444289e-06
2.752852764168401745e+00 1.433140951430186227e+01 4.056193168505513591e-01 9.499987890640790855e-01 1.479669976563358432e+03 6.421979721701754750e-04 1.158588979613449306e-04
2.792516102010873080e+00 1.432095318236106252e+01 4.132306060887206423e-01 9.500031383348022107e-01 1.506034828552312320e+03 6.309722170821531863e-04 2.111796075129629690e-05
2.829678496993033310e+00 1.430796777967801425e+01 4.211912560363590963e-01 9.500005307700247759e-01 1.533583869833156314e+03 6.196510893263212222e-04 -3.066301400887586374e-04
2.864300238286504818e+00 1.428868727051927223e+01 4.295134619178971880e-01 9.499906655756157337e-01 1.562356334334931489e+03 6.082506151346508570e-04 3.506187007924700303e-04
2.896356877582626499e+00 1.426774012416711912e+01 4.382096023531364404e-01 9.500095764040511481e-01 1.592391853464350788e+03 5.968066237648584141e-04 -1.579505571787368954e-04
2.925838633502244601e+00 1.423908839460543341e+01 4.472924505137748086e-01 9.500004640891072105e-01 1.623731228726242534e+03 5.853022308945193255e-04 6.058458346776940786e-05
2.952749180773411197e+00 1.420878275606750485e+01 4.567749481777887421e-01 9.499892979623558720e-01 1.656415636595451133e+03 5.737689341579512966e-04 -7.064603557626085092e-04
2.977104696322368849e+00 1.417746689272084204e+01 4.666704333616191747e-01 9.500183297969251317e-01 1.690487383534640003e+03 5.622420906097626552e-04 5.773193312063042105e-04
2.998933104132179839e+00 1.413801751404117901e+01 4.769924069494383967e-01 9.500026509002682529e-01 1.725989084293612450e+03 5.506960262161964643e-04 -5.901460028347299186e-06
3.018272688071055754e+00 1.409778794490751075e+01 4.877547840463905549e-01 9.500013996866121246e-01 1.762964717852870308e+03 5.391733955261325669e-04 -2.158665093541461917e-05
3.035171188531990083e+00 1.405065649185038623e+01 4.989717891269867533e-01 9.499987393305391326e-01 1.801458846336866145e+03 5.276813523371854742e-04 -5.274011469688475069e-04
3.049684722314964347e+00 1.400760578990543159e+01 5.106579530978797576e-01 9.500102148017294246e-01 1.841517097399097338e+03 5.162418937273143427e-04 1.685892193009726398e-04
3.061876970765617045e+00 1.395166797358664823e+01 5.228281913966981165e-01 9.499999399786733800e-01 1.883185951441527777e+03 5.048514317112123059e-04 2.444816939772243591e-05
3.071817701285159075e+00 1.389823790738945419e+01 5.354977670797634870e-01 9.500026891826808262e-01 1.926512977694919073e+03 4.935390070817132326e-04 -1.059838739250012319e-04
3.079582391072163805e+00 1.384196355813859114e+01 5.486823687882327327e-01 9.499994420603294909e-01 1.971546897523897769e+03 4.823080629367067673e-04 1.953546939545238500e-04
3.085250931590934886e+00 1.378736258198647135e+01 5.623980048755721217e-01 9.500113970902412941e-01 2.018337276334154922e+03 4.711812590654019845e-04 -4.178664453143376241e-04
3.088907019365730200e+00 1.372187972659385480e+01 5.766612967514366250e-01 9.499992060969304486e-01 2.066935495663656184e+03 4.601488329119615282e-04 7.013781574311973160e-04
3.090637161488368978e+00 1.365915398511816115e+01 5.914890819607778738e-01 9.500010309136813769e-01 2.117393376777138201e+03 4.492433943946288208e-04 -5.051399670317788617e-05
3.090530218590107125e+00 1.359727506562941102e+01 6.068988005887127057e-01 9.499998896330221765e-01 2.169764626314030920e+03 4.384633777961325328e-04 -1.250525369385725510e-04
3.088676583536781983e+00 1.352785064171695240e+01 6.229083782955784354e-01 9.499996913758209649e-01 2.224104139173370186e+03 4.278204209293974374e-04 -1.742195884123717310e-04
3.085167381052128288e+00 1.345827358059010059e+01 6.395362094977589118e-01 9.500028417460203434e-01 2.280468288036572631e+03 4.173239834421084990e-04 1.416460396368543918e-04
3.080094499238712480e+00 1.338854913614514963e+01 6.568012353847703100e-01 9.500055418044567324e-01 2.338914899845118271e+03 4.069802946701520856e-04 1.413731991647236162e-04
3.073549528107874185e+00 1.331795624530897726e+01 6.747229738865480053e-01 9.499885962053489230e-01 2.399503457167690613e+03 3.967912884493147974e-04 -3.037819021288258353e-04
3.065623552633557125e+00 1.324754701045708494e+01 6.933215234438635521e-01 9.500008524624633521e-01 2.462295118440610622e+03 3.867769652510685526e-04 -2.750474106352932360e-04
3.056406867532047489e+00 1.317027744646431486e+01 7.126175659819661279e-01 9.500015416748661679e-01 2.527352698887264978e+03 3.769317506110373014e-04 3.311914884298790149e-05
